text,hashtags,date,user,users number of followers,location
"@no_silenced Will COVID bring the HARRIS/BIDEN campaign to a screeching halt? #PermanentLidJoe
",['PermanentLidJoe'],2020-10-16 00:01:33,knassios,11234,
"#TwitterDown #OsQuedanTresAnos #LaFaraonaPedofilo #สลายการชุมนุม #COVIDー19 #تسريب_صوره_الزين_القحطاني a ver   https://t.co/hQoGzO3o2o
","['TwitterDown', 'OsQuedanTresAnos', 'LaFaraonaPedofilo', 'สลายการชุมนุม', 'COVIDー19', 'تسريب_صوره_الزين_القحطاني']",2020-10-16 00:01:33,lixieternal,3386,ryujin's gf
"Low risk of Covid infection on planes if masks worn: US military https://t.co/gWWk1NXTeU   #USNews
",['USNews'],2020-10-16 00:01:34,HAccordingly,19793,
"still thinking abt how covid cancelled the bladee concert yves &amp; ecco concert lean's starz tour AND the lean documentary premiere https://t.co/0dh89l6soE
",[],2020-10-16 00:01:34,lordofthejewels,107,18 | she/her
"Close to 100 members from my tribe have been killed because of COVID-19 And funeral ceremonies were ordered to be cancelled by our Tribal Chief #ByeTiffany #WeAreNotOkay
",[],2020-10-16 00:01:34,HPIsaac2,2,"Mississippi, USA"
"Can Ducks even transmit covid?
",[],2020-10-16 00:01:35,IsaacMRosenthal,812,Los Angeles/Eugene
"@odunsitheengine @AyoBaloh25 There’s no covid-19. Assholes #EndSARS
",['EndSARS'],2020-10-16 00:01:35,pretty_young__W,2142,
"Very many happy returns. https://t.co/plH0huhzS0
",[],2020-10-16 00:01:35,mcguigandanny,6605,"East Kilbride, Scotland"
"Miles sounds like they are all in jail! “So, we’ve all been locked up for a couple of months now.” Which technically most of us have been, it’s called The Covid Lockdown Facility!! #MarriedAtFirstSight
",[],2020-10-16 00:01:35,AmyOnRocket,48,US
"@RonaldKlain @neal_katyal Where is the COVID TrumpCure? Now would be a good time to release it @realDonaldTrump
",[],2020-10-16 00:01:36,alexkertes1,95,
"@CBCNews So Trudeau is going to listen to the country responsible for Covid?
",[],2020-10-16 00:01:36,Canadianloud81,5,
"@Lakers @Keefmorris I don't mean to be rude but we are trying to stop covid right
",[],2020-10-16 00:01:37,cameoandrews,0,
"Move on.... in general (not just talking about Brexit here) Things happen for a reason, shit happens, you live and you learn, it’s life.   “When you forgive, you start walking forward”  That was deep, goodnight.
",[],2020-10-16 00:01:37,Dan__JD,779,Cardiff - Penarth
"Like I said from day 1, Covid 19 is nothing more then the flu.
",[],2020-10-16 00:01:39,AngryViking7,4144,"Bloomington, Indiana"
"“I hope that my experience shows my fellow citizens that you should follow C.D.C. guidelines in public no matter where you are and wear a mask to protect yourself and others” https://t.co/EbsEC4N04U
",[],2020-10-16 00:01:39,ShibleyTelhami,15754,
"@JoeBiden Bullshit! Trump’s economy was booming before COVID, and in a way, it still is! Stop lying Joe!
",[],2020-10-16 00:01:39,DarthNevets,100,
"@thebradfordfile @mountai39858604 And claiming they’ve been exposed to covid.
",[],2020-10-16 00:01:39,sdockter,4236,United States
"This bitch said she did everything right and went on to explain that people their mask off during the session. When they’re fucking sweating and breathing hard as fuck in an enclosed space with lackluster HVAC.
",[],2020-10-16 00:01:40,GlamazonJay,3319,DM[V]
"@realDonaldTrump @NBCNews @cspan @JoeBiden What I don't get is why are you doing it if you think it's fake news?  Is it because you know you'll get a bigger audience then you would at your covid rallies?  Are you jealous he has 2 hours and you only have 1 hour? https://t.co/GfRaPHeiFc
",[],2020-10-16 00:01:40,kathychronicles,176,"Somewhere, USA"
"🦠🦠🦠#Covid 🔥19🔥 days to go  til it's a wrap folks — GO. VOTE.   #PresidentBiden  #BLUESenate
","['Covid', 'PresidentBiden', 'BLUESenate']",2020-10-16 00:01:40,bonjouryall,1065,same planet as you
"@DeadlineWH @peterbakernyt @NicolleDWallace Trump wants to open the country! He followed his advisors and scientists on Covid. U keep bashing him 24/7 on MSNBC! What do U want from the guy? U think Biden has all the answers?
",[],2020-10-16 00:01:41,Richardkimble45,1189,
"Why children should be seen and not heard.
",[],2020-10-16 00:01:42,jwigderson,3526,Waukesha
"President Trump and former Vice President Joe Biden will participate in dueling town halls tonight, hoping to connect with voters as Covid-19 cases soar across the US and the President looks for a game-changing moment in a shaky reelection bid https://t.co/hQp3w8IL2u
",[],2020-10-16 00:01:42,CNN,50106509,
"I just got tested... tested for COVID.... ain’t got no COVIDDDD LMAOOO https://t.co/y7Dr0nLXWv
",[],2020-10-16 00:01:43,803Jamie,273,"New Jersey, USA"
"@LukeMor19529310 But the RCT's said it worked and Raoult said it was worthless. Unpossible  https://t.co/5BwkyfTjr5
",[],2020-10-16 00:01:43,yoshkapundrick,40,
"Watch this &amp; be proud to be Canadian!! It's also very relaxing, I sort of forget real life for a minute or five. #NoCheese
",[],2020-10-16 00:01:44,KrisIsPissedToo,904,
"Kamala and Joe aren’t travelling (covid excuse)  Is there going to be an election?
",[],2020-10-16 00:01:44,livvystar,7256,Definitely out there.
"I've received two email notifications about COVID-19 classmates - one tested at UHS, one tested off-campus - in my hybrid/in-person classes in the past week. I'm not enrolled in any in-person/hybrid classes, but this is incredibly worrying. #UMMakesUsSick
",[],2020-10-16 00:01:46,MaxSalTweets,220,"Ann Arbor, MI"
"Man apologizes, says he should have worn a mask, and also should not have eaten that ninth piece of pizza https://t.co/FpYbaxKpYZ
",[],2020-10-16 00:01:46,TenSecondCynic,1393,
"""I was given the cocktail the rest of you aren't able to get as treatment and refuse to disavow my support of Donald Trump who has mismanaged and downplayed this pandemic that has killed a lot of your family and friends while I had access to better care.""
",[],2020-10-16 00:01:46,PierceAH66,2251,NJ
"OH please. I know what he is. How gross. https://t.co/ueGuabzIOh
",[],2020-10-16 00:01:46,buckinflynd,58,Texas
"Twitter has covid.
",[],2020-10-16 00:01:47,LisaRules,19859,"Los Angeles, CA"
"'Get the kids back to school': Trump uses son's COVID-19 diagnosis to push for reopening https://t.co/AfmDHSFGHT
",[],2020-10-16 00:01:47,microsoftnews,1856,
"Hi! Did you say Hi to Hunter and @JoeBiden ? 😁😁😁
",[],2020-10-16 00:01:48,zuleidybgurley,1480,Caracas
"When people sew unrest by spreading lies and cause huge problems in society and they are too rich to be affectively penalized financially then we must use violence as a tool of dissuasion.
",[],2020-10-16 00:01:48,AnticopPDX,369,Stolen Cowlitz Territory
"Fonte: The Suns
",[],2020-10-16 00:01:48,GoldenHarryxy,1325,princess park 
"Lady Freethinker Supports Manifesto Calling to End Animal Abuse Amid COVID Epidemic https://t.co/te3GvWvDk9 via @ladyfreethinker
",[],2020-10-16 00:01:48,DebraDragonhea2,1720,
"@PrinzessGreen @SHomburg Lol, no it’s just covid is new so more people are vulnerable to infections where with the flu you have vaccines and past exposures.... lmao the flu is arguably more infectious than covid
",[],2020-10-16 00:01:48,Big_Time_Atl,121,"Atlanta, GA"
"It never ceases to amaze me how stupid people are
",[],2020-10-16 00:01:49,gringoinbrazil,255,
"Will you gettah fuck!! #EndsSARS
",['EndsSARS'],2020-10-16 00:01:49,OGIIGI,684,lagos nigeria
"your fucking grandma has covid and you're in my mfing house??????? first of all WHY TF ARE U OUT
",[],2020-10-16 00:01:51,vantelarity2,124,@vantelarity (she/her)
"Can someone tell Mr. I know it all?  https://t.co/39t2OAy5UA
",[],2020-10-16 00:01:52,IslandGypsy68,846,Cloud 7 😊
"@ChrisChristie so you got a second chance. 218,000 did not. Hope you use this to make wise choices.  @RapidTests #FFCE  @SteveFDA @CDCDirector @HHS_ASH  We need mass, rapid covid screening.   @michaelmina_lab @ASlavitt @mcuban @DWUhlfelderLaw @DrTomFrieden @DrEricDing @jhuber
",[],2020-10-16 00:01:52,LBGoodnessGrows,46,
"@JJ56123 the COVID agenda is fraudulent &amp; dishonest ... and in America the vaccine development process is guided by secret contractors working for the government.  the administration of mass inoculation will be a military operation also.  https://t.co/tt7BOg709Y
",[],2020-10-16 00:01:52,Wallace_Noll,1851,"Mesa, Arizona (USA)"
"Chris Christie says he was in ICU for 7 days battling Covid-19, urges Americans to wear masks https://t.co/2QvxLSfeLO via @YahooNews
",[],2020-10-16 00:01:52,pyramidfire,53,"Washington, DC"
"Stay Home for Thanksgiving. 🦃 ""CDC director says small gatherings are becoming a source of COVID-19 infection spread""  https://t.co/CJ3Xsmeunb
",[],2020-10-16 00:01:52,Hgonzal96762058,293,
"I WILL CRY
",[],2020-10-16 00:01:53,fooIsrush,1365,vic sill fiza elle ami
"Covid-19 spreading in homes via doorbells, towels and cutlery, Varadkar warns https://t.co/8n8zVHOX4f
",[],2020-10-16 00:01:53,JosephineFitzm1,282,Ireland
"Children are not little adults and have unique health needs. When it comes to #COVID, we must address the fact that children’s infection rates are rising, their immunization rates and declining, and they have increased mental health care needs through this crisis.🚨 #WeCareDebate
",['COVID'],2020-10-16 00:01:54,CAANevada,1437,Nevada
"Offering COVID-19 information and assistance located throughout the Las Vegas Valley, check out our Resource Guide! 👇👇 https://t.co/zHIKpTwDZP #WeAreLocal https://t.co/NEkpTPDjfk
",[],2020-10-16 00:01:54,OfftheStrip,6379,"Las Vegas, NV"
"@twhitfill People coming near death and talking about their experience is the only thing that is going to make people take COVID more seriously.  Masking + distance
",[],2020-10-16 00:01:54,blueWRL,690,"Dallas, TX"
"imagina postar fic pra ter likes https://t.co/Py9w8GF9JT
",[],2020-10-16 00:01:54,liarsmani,7052,
"Whatttt is this💀💀 Meek get outta heeere🤣
",[],2020-10-16 00:01:54,JasminSrensen9,36,
"We need peace #EndInsecurityNow #EndPoliceBrutalityinNigeria #EndSWATInNigeriaNow
","['EndInsecurityNow', 'EndPoliceBrutalityinNigeria', 'EndSWATInNigeriaNow']",2020-10-16 00:01:55,BornWntd1,78,Kaduna state
"The fatality rate for covid-19 is very close to that of the seasonal flu: 0.1%         WHY IS THAT? https://t.co/cpNbW2bQcR
",[],2020-10-16 00:01:55,IvanBot007,609,"Mississippi, USA"
"Leaders step up to the moment, and @MichelleUgenti has done anything but.  We've compiled some of her most egregious posts and appearances during COVID-19, combined with total state case count checkpoints. Take a look: https://t.co/Wj02Exb50F
",[],2020-10-16 00:01:55,SethBlattman,450,"Scottsdale, AZ"
"“No one should be happy to get the virus and no one should be cavalier about being infected or infecting others.""
",[],2020-10-16 00:01:56,HighlandHaps,780,
"interesting to me that this is LG’s takeaway. she still thinks it matters that some conservatives can learn from personal experience.  my takeaway is that despite his experience, christie is still fundamentally a trumpian when it comes to COVID-19.
",[],2020-10-16 00:01:56,PhD_femme,3142,unknown
"#Sinclair, Trump, and the rest of the GOP do NOT care if you get sick or die.  Not at all.  As long as they win.
",['Sinclair'],2020-10-16 00:01:57,DavidHMandel,25192,"Los Angeles, CA"
"John F. Kennedy has died of covid. He was 103.
",[],2020-10-16 00:01:57,twitersbadboy,4248,"Indianapolis, IN"
"puts
",[],2020-10-16 00:01:58,sambilamba,204,"Santos, Brasil"
"Saw this coming a mile away. Flu cases and deaths will be swallowed up by Covid cases and deaths. The CDC is already telling you as much. https://t.co/ABaRPBCnlw
",[],2020-10-16 00:01:58,vandyrone,415,
"Like, why. My job just sent a mass email about this. They better be glad I’m off today because I would have thrown hands. My mom did not get COVID-19 just to see another idiot like this. The hoops we have to jump to be nice to people who chose to be selfishly harmful to others. https://t.co/NGObuLKPf1
",[],2020-10-16 00:01:59,migikun12,1263,He/ him/ his
"While COVID-19 left 227,000 Arizonans sick, and took the lives of over 5,700 people, Michelle did nothing. Enough is enough - it's time to remove her from the esteemed position she has no business holding anymore.  Join us: https://t.co/neyjO95eIz https://t.co/GAoLK5Qvf2
",[],2020-10-16 00:01:59,SethBlattman,450,"Scottsdale, AZ"
"Restaurant Closings in Greater Boston Since the Start of the COVID-19 Pandemic https://t.co/OJZmborW3V
",[],2020-10-16 00:02:00,DrGlennJohnson,331,"Houston, TX"
"It’s times like these I take deep breaths and repeat “Lafreniere is a Ranger. Lafreniere is a Ranger. Panarin is a Ranger. Kakko is a Ranger. Lafreniere is a Ranger.”
",[],2020-10-16 00:02:00,BretzkyBretzky,120,
"Switching gears during COVIDー19🚴transforming an abandoned yard into a fitness hub 🙌   Check out NYC's first outdoor cycling studio in Brooklyn @BYKlynCycle 🚲 Full #ReboundNBC story here ⬇️  https://t.co/jgotxx5qco
",[],2020-10-16 00:02:00,LindaGaudino,686,"New York, NY"
"The pandemic and global recession may cause over 1.4% of the world’s population to fall into extreme poverty - To reverse this serious setback, countries would need to prepare for a different economy post-Covid, says @WorldBank chief #EndPoverty https://t.co/rTfQxL5UOL https://t.co/LqvZdePZS4
",[],2020-10-16 00:02:00,ipsnews,18634,Also @ipsnoticias
"@TheLeadCNN @jaketapper @kaitlancollins It is not a lie.  It is conjecture.  Given that 85% of people who have contracted Covid say they always wear a mask, we really have no idea of their effectiveness.  We wear them in case it might help.
",[],2020-10-16 00:02:00,Lincolnpkpj,24,"Austin, TX"
"@aubrey_huff There were more cases of H1N1 in 2009-2010 at 60 million in the US alone. No masks, no shutdowns, etc. This time, it’s an election year, and we have all this bullshit. COVID was a planned attack, the timing was too perfect for it not to be a planned attack...
",[],2020-10-16 00:02:00,TheDomSirJon,5,
"Berejiklian presser just started, she's talking about Covid at the moment
",[],2020-10-16 00:02:00,choosing150,1418,Australia
"That’s my President
",[],2020-10-16 00:02:01,BrendaFurqueron,3712,"Alabama, USA"
"@MarshaBlackburn @senjudiciary @Twitter @jack That makes sense: while people are dying, losing their jobs, losing their healthcare because of COVID.
",[],2020-10-16 00:02:01,BlueWave215,7881,"Gary, IN girl in Maryland"
"MASSIVE YOUTUBE PURGE Takes Out The Truth Communities FINEST In Prep For Election And Covid 2nd Wave https://t.co/lO6BiuKswg via @BitChute #WakeUp
",[],2020-10-16 00:02:01,sante2029,110,Born Albertan BC Grown
"Two COVID-19 cases at Christ the King School https://t.co/G0aMgfNw5r
",[],2020-10-16 00:02:02,WinnipegNews,130251,"Winnipeg, Manitoba, Canada"
"Winnipeg sets daily COVID record; restrictions to be tightened https://t.co/LuPaCbf8Jm
",[],2020-10-16 00:02:02,WinnipegNews,130251,"Winnipeg, Manitoba, Canada"
"Masks dont help against any virus.  But two masks could suffocate this old man. Keep shaking him!
",[],2020-10-16 00:02:03,adpalzcom,2633,"Novato, CA"
"Headingley inmate worried he's going to die from COVID https://t.co/3Uby0vnFaf
",[],2020-10-16 00:02:03,WinnipegNews,130251,"Winnipeg, Manitoba, Canada"
"TWO CASES... this is an incredible number given the context of the past week, the Chadstone outbreak and the ensuing regional outbreaks caused by that one fucking idiot. What a great day.
",[],2020-10-16 00:02:04,jugzilla_vi,142,"Melbourne, Victoria"
"ABC News: Kamala Harris tests negative for COVID-19 after 2 associated with campaign test positive. https://t.co/I84VwimL4z  via @GoogleNews
",[],2020-10-16 00:02:04,wlabovitz,1620,"Robinson Township, PA"
"In the Elon University poll, respondents also answered questions on school reentry amid COVID-19 and where they feel comfortable going https://t.co/W5suBE8nC4
",[],2020-10-16 00:02:04,WFMY,133203,"Greensboro, North Carolina"
"@IAmDawnM Or getting Covid?🤷🏻‍♀️
",[],2020-10-16 00:02:05,zennginger,1544,"Vermont, USA"
"Once again with more feeling this time.
",[],2020-10-16 00:02:05,JenKirkman,275801,Sheltering In Place
"Now this was at the start of covid so all the cafes and restaurants were closed. There was no way to “go on a date” technically. So the guy called her over to his apartment (relax moulvis, this is london, not the Islamic republic of Pakistan)
",[],2020-10-16 00:02:06,amnaukhan,5300,London
"The older I get, the more I understand why politicians are hated around the world.
",[],2020-10-16 00:02:06,piyushmittal,11987,"California, USA"
"@TimMurtaugh LIAR!! TWO MAJOR VACCINE MANUFACTURERS (J&amp;J AND ELI LILLY) HAVE STOPPED COVID19 VACCINES DUE TO SAFETY ISSUES.  YOU ARE WHERE YOU SHOULD BE ON TRUMP'S SIDE... YOU ARE A UTTER FOOL!    #BIRDSOFAFEATHER  COVID HAS BEATEN THE SHIT OUT OF AMERICA AND CONTINUES TO DO SO!
",[],2020-10-16 00:02:06,PISSEDOFFAMER20,639,"Fort Carson, CO"
"@chrislhayes At some point? This shit has been criminal negligence since Trump claimed injecting disinfectants and sunlight will help kill Covid!
",[],2020-10-16 00:02:06,Oli_the_God,14,"Bronx, NY"
"This is an ableist message and dismissive of our @Naperville203 families with pre-existing conditions or loved ones with them. Illinois reported its highest number of positive COVID tests to date today. @EquityIn203 can we do a little education on this issue, please?
",[],2020-10-16 00:02:08,VotingMomIL,1297,
"""Horrible Situation"": Trump On China Allowing Covid To Spread https://t.co/CoPjWt5uyz
",[],2020-10-16 00:02:08,suryaab987,4,
"Sad but believable
",[],2020-10-16 00:02:08,MG_Esq,197,
"17yo daughter:  ""Mom, know what kind of day I wish this was? A @BNBuzz Barnes &amp; Noble day. Just walking thru all the shelves &amp; looking at all the books, picking out something to read this weekend."" Sigh. Stupid COVID.
",[],2020-10-16 00:02:09,MrsDi,3255,New Hampshire
"St. Henry, Notre Dame volleyball programs in quarantine ahead of postseason https://t.co/npW7ijoAh4 via ⁦@ENQSports⁩
",[],2020-10-16 00:02:09,JWeberSports,4214,"Fort Mitchell, KY"
"There is no perfect science when it comes to public health interventions for COVID, and all our interventions have costs This is the best evidence available, from a large group of experts, to guide Ontario's response to the current surge in cases https://t.co/1iNCdDomW3
",[],2020-10-16 00:02:10,First10EM,10686,"Toronto, Canada"
"They may be trying covid attack again😲
",[],2020-10-16 00:02:10,LoseyLaurice,5864,The wilderness of the lost. 
"NEW: Gov. Christie was in the ICU battling COVID-19 for 7 days.
",[],2020-10-16 00:02:11,KOCOChristine,2860,"Oklahoma City, OK"
"@Yamiche ""Giuliani has visited the White House for debate preparations, given the president tips on his response to the coronavirus pandemic, promoted the controversial drug hydroxychloroquine as a treatment for covid-19...
",[],2020-10-16 00:02:11,thebarbook,1103,
"The Great Barrington Declaration: COVID-19 deniers follow the path laid down by creationists, HIV/AIDS denialists, and climate science deniers – Science-Based Medicine https://t.co/8cJOBu0Iz9
",[],2020-10-16 00:02:12,mcdormom,708,United States
"Manistee County has had 97 cases of COVID-19 as of Thursday’s data. One case was removed from a previous count because the person resides outside of Manistee County's jurisdiction. | https://t.co/EKVHoJ97xc
",[],2020-10-16 00:02:13,manisteenews,1195,"Manistee, MI"
"@MysterySolvent Covid Queen
",[],2020-10-16 00:02:14,Netzer_r,282,ATL
"Covid on Campus: Will BBC Scotland Disclosure be able to resist? https://t.co/5Blonlwqoi via @wordpressdotcom
",[],2020-10-16 00:02:14,ProfJWR,4923,Ayr
"Can someone ban her @TwitterSupport
",[],2020-10-16 00:02:16,OSUFAN4U2NV,2018,
"Basically the same sort of thing as Trump withholding funding from sanctuary states but that move is considered horrible &amp; fascistic. Fredo is OK to persecute an ethnic group though.
",[],2020-10-16 00:02:16,leja99,303,
"No sympathy for Fauci:  he could have made a bigger impact if he had resigned from the Task Force. He is still hired by NIH.  He has helped perpetuate Trump's narrative. Praise your local officials, public health and medical.  Stop lionizing Fauci.
",[],2020-10-16 00:02:16,NancyKellyMart1,511,
"This is nothing short of attempted mass murder.
",[],2020-10-16 00:02:16,packratt1,1233,"Seattle, WA"
"BREAKING: Chris Christieis still fat &amp; resembles a 🐽
",[],2020-10-16 00:02:17,robblaw,934,Anywhere
"@matt12r @sean_antrim @JoeBiden @ABC Nope, not after the Dem Governor Mandated Covid into Nursing Homes yet Dir. of Health removed mother, Dems allowed rioting to take place in Philly, lockdowns causing small businesses to shutdown permanently and unemployment causing families to suffer. PA 4 Trump 💯
",[],2020-10-16 00:02:17,PatriotWarriorG,1471,Tri-State Area #Godwins
"That’s the type of person Justin is #LonelyIsComing
",['LonelyIsComing'],2020-10-16 00:02:18,rauhI_bieber,241,on my jet bitchhh
"Ultimately, we all want a completely open economy. We want to have fun, and see our families. We want every member of society to be comfortable financially.  To get there, COVID needs to be controlled. The goal of early public health measures is to get the economy open - safely.
",[],2020-10-16 00:02:18,First10EM,10686,"Toronto, Canada"
"It was a pleasure to be involved in the creation of this science briefing for the Ontario COVID Science Table.  Watch the space for more, up to date, independent, and hopefully comprehensible analysis of COVID science.  https://t.co/1iNCdDomW3
",[],2020-10-16 00:02:18,First10EM,10686,"Toronto, Canada"
"COVID-19 has affected our lives in a variety of ways &amp; created a new normal that we all must adjust to. Tonight I was honored to join a panel of doctors from @USFHealth &amp; @TGHCares to discuss its impacts &amp; what we can do now, as well as in the future, to prevent another outbreak. https://t.co/fDeQhqs9bq
",[],2020-10-16 00:02:19,JaneCastor,18451,"Tampa, FL"
"Solidarity Therapeutics Trial produces conclusive evidence on the effectiveness of repurposed drugs for #COVID19 in record time In just six months!!  https://t.co/kdMN3NceEF
",['COVID19'],2020-10-16 00:02:19,ABsteward,20033,🌍
"@meanderingleaf yup! covid ruined that. apparently though this teacher has always been boring as shit and always would drop a hilarious amount of homework and this isnt just a covid thing
",[],2020-10-16 00:02:20,comet_melting,1016,header: @Astr0retr0
"Of course it’s covid bullshit to start omg 😳 okay where is my president??
",[],2020-10-16 00:02:20,Amanda360473781,1100,
"on the other hand, the parallel universe is enjoying a nice covid-controlled existence, do we REALLY need to introduce them to our shitshow
",[],2020-10-16 00:02:20,tai_nugget,1061,
"This is like when my uncle supported the Iraq war until my cousin joined the Marines.
",[],2020-10-16 00:02:22,colinbaillio,2433,"Albuquerque, NM"
"Fauci and Bill Gates are wrong again!
",[],2020-10-16 00:02:22,Puffman81252248,24,
"Shocking you chose to run again  without ever answering question- why did you side with US mining company  seeking damages against Canada when Canada defended the endangered Right Whales? How much were you paid to testify against Canada while a sitting MP? #BCelxn2020 @BCGreens
",[],2020-10-16 00:02:23,ElizabethMay,333866,"Sidney, British Columbia"
"WHO's Dramatic Shift on Covid Lockdowns Exposes the Fake Expertise of Our Corrupt Ruling Class - Revolver https://t.co/7wesOBgvtl
",[],2020-10-16 00:02:23,Jnasty84,778,
"Exclusive: Kumar Sanu tests positive for COVID-19 – Eagles Vine https://t.co/IBjGuJYnH5
",[],2020-10-16 00:02:24,EaglesVine,8,United States
"Heard this from a friend, idk whether this is true or not. Indian gov wanted to test their covid vaccines on us before they give it to Indians 😆 ya all wanna be lab rats? I can’t volunteer for shit like that...
",[],2020-10-16 00:02:25,AdleeDeadly,8732,Maldives
"i'm just so angry all the time
",[],2020-10-16 00:02:25,Dorothy410berry,7191,the road to hell
"Three-quarters of #Vancouver #COVID19 patients hospitalized have symptoms months later: study   https://t.co/FEkvkbRtwu  🇨🇦
","['Vancouver', 'COVID19']",2020-10-16 00:02:25,greenurlifenow,2236,Vancouver
"i moved to a new city just as covid hit and left all of my friends. my work friends aren't really friends bc they dont even know im trans. but being around you guys on the tl makes me feel a lot better. thank you for being you :"")
",[],2020-10-16 00:02:25,dimitriloid,85,trip / 22 / he/him / 100519
"me when covid is over and i get to have regular squat days at the gym
",[],2020-10-16 00:02:26,bobbycappucino,4243,
"Special Alert:  SoCal 511 is keeping you up to date on the Coronavirus(Covid-19) impacts to transportation in the 5 county areas(Los Angeles, OC, Ventura, Riverside, and San Bernardino) every hour. For more information visit: https://t.co/bnGXxmOJjD
",[],2020-10-16 00:02:26,Go511,588,Southern California
"I wonder what the cost of this would be to a regular person without insurance.
",[],2020-10-16 00:02:27,LanceStorm,255680,"Calgary...Alberta, Canada"
"@realDonaldTrump What a COVID DEATH CROWD!
",[],2020-10-16 00:02:27,bubba_wubba,1159,
"@TriciaHamFan15 @scrapperof5 @GovMikeDeWine Then those that wear a mask all the time would end up in the hospital with lung infections (which would be “called” Covid). educate yourself!
",[],2020-10-16 00:02:29,330QanonsVnA,403,"Youngstown,Ohio"
"For everyone saying COVID was real 🥱
",[],2020-10-16 00:02:30,kinqhall,224,"Charlotte, NC"
"Game changer if it works.
",[],2020-10-16 00:02:30,ChrisH8Politics,547,Following the MONEY WorldWide
"I love him so much 😭😭😭😭😭😭😭😭😭😭😭 #LonelyIsComing #LonelyTONIGHT
","['LonelyIsComing', 'LonelyTONIGHT']",2020-10-16 00:02:30,perfebieber,989,
"“A lot of people kept their winter tires on right through the summer, just due to COVID-19. Getting them taken off was quite difficult. They will wear down dramatically faster than they otherwise would.” https://t.co/75AZ99AD4z
",[],2020-10-16 00:02:30,GlobalLeth,17842,"Lethbridge, AB"
"Reckitt Benckiser Group Provides Sh70 Million in fight against Covid-19 https://t.co/P6i4orwTYQ
",[],2020-10-16 00:02:30,CapitalFMKenya,1513383,"Nairobi, Kenya"
"Purdue Men’s Basketball Team Kicking Off Practices Over Questionable COVID-19 Tests  https://t.co/Y3gX2e92Yf
",[],2020-10-16 00:02:30,DDNSports,383,"Los Angeles, CA"
"Covid
",[],2020-10-16 00:02:31,MichelaThomaz,6,
"First question is on Covid-19 policy.
",[],2020-10-16 00:02:32,MysterySolvent,96252,"Michigan, USA"
"@fordnation @Raptors @jamaalmagloire Trudeau is promoting the COVID app, so, not a chance Dougie!
",[],2020-10-16 00:02:32,uniknot,155,
"@TomiLahren @TiffanyATrump I don't know, after you're dad is a hotzone, you should kind of know it's grotesque to throw a huge party in Miami knowing the exponential risks.   I know you want everyone to have COVID but not all of us agree.
",[],2020-10-16 00:02:33,alisongrippo,451,"Los Angeles, CA"
"But the rest of us won't get them if we contract #COVID19 .
",['COVID19'],2020-10-16 00:02:33,LauraDurnell,1439,"Chicago, IL"
"Thats what you get @GovChristie for  hanging around @realDonaldTrump. He doesn't give a shit about anyone.
",[],2020-10-16 00:02:34,Robin37881043,2,
"@GovMurphy   Sir, In view of so many MVC closures, please extend all D Licenses till December 2020 ( Non Commercial)
",[],2020-10-16 00:02:35,EarlyBird1976,133,
"@CNNPolitics Biased headline . How about as US surpasses Europe in Covid management and AZ TX and FLA are well below levels from months ago?
",[],2020-10-16 00:02:35,AFV6192,2,"Manhattan, NY"
"Great weather irony, Covid puts the Prelim Final 3 weeks further into Spring and of course Adelaide today has winter conditions
",[],2020-10-16 00:02:35,KALHolman,64,"Adelaide, South Australia"
"@ClarkeMicah @MandCop Facts and science backed opinions:
",[],2020-10-16 00:02:37,GuffyNicola,926,Cascadia
"As @millermeeks is trying to sound rational on the #IA02 debate stage tonight, just a reminder that she touted an unproven COVID-19 treatment that made patients sicker. https://t.co/JKiOrQ2FM7
",['IA02'],2020-10-16 00:02:37,BrookeGoren,953,"Washington, DC"
"@AP Same here; it was the #COVID. Signed: John Belushi, John Candy and Chris Farley. https://t.co/A9OFtGFXJO
",['COVID'],2020-10-16 00:02:38,doctorsexabuse,1527,"near Washington, DC"
"Another 19 Minnesotans die from COVID-19; state adds more barrier-free testing next week https://t.co/LQYRDR2Jiw
",[],2020-10-16 00:02:38,PerhamFocus,500,"Perham, MN"
"Due to a number of variables limiting participation and availability of student-athletes, the 2020 COVID Cup Competition will unfortunately be canceled.   This decision was made with the best interests of Warhawk student-athletes’ safety, health, and well-being in mind. #WeAreAUM
",[],2020-10-16 00:02:38,AUMathletics,3100,"Montgomery, Ala."
"Yall should have let them negative ads fly when his ass was in the hospital. Covid president headass. Stuff like that. Yall failed
",[],2020-10-16 00:02:38,DKMizzou,109,Lost Angel Ass
"Two / zero 👏👏👏 We’re on board with masks  We’re looking after each other  We’ve got this #Melbourne #COVID19Vic #StaySafe #StayHome
","['Melbourne', 'COVID19Vic']",2020-10-16 00:02:39,jane_bourke_phd,874,"Clayton, Australia"
"LOL NOW U CARE
",[],2020-10-16 00:02:40,aemulae,209,SoCal • 23 • she/her
"@jaketapper Most women don't vote for sociopaths.  https://t.co/9MtSbdfGJ7
",[],2020-10-16 00:02:40,dreammapper,473,
"The percentage of being killed by COVID-19 is 0.09% the percentage of being killed on protest grounds is 10% The percentage of being killed by this so called SARS is 99%  #EndSARS #EndSWAT #EndPoliceBrutalityinNigeria https://t.co/T1iXPoQQoM
",[],2020-10-16 00:02:41,vickki_o,15,
"COVID public installation in Tulsa, OK https://t.co/gnn7HtZMxW
",[],2020-10-16 00:02:41,ooomeboshi,74,occu. Kiikaapoi/Wazhazhe land
